Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
Nonane,-81.1,8555.0,10.74,98.04,30.17,89.34,-37984.0,-56.659,-38702.0,-58.614,90.0,250.0,-0.25032,alkane
Decane,-100.91,10041.0,13.53,118.09,32.24,112.49,-39473.0,-55.001,-42633.0,-63.382,90.0,250.0,-0.28456,alkane
Undecane,-104.58,10717.0,13.96,137.07,33.71,116.04,-41492.0,-55.1,-46955.0,-69.246,90.0,250.0,-0.28836,alkane
Dodecane,-109.84,11494.0,14.61,154.78,34.92,121.44,-43584.0,-55.778,-51453.0,-75.718,90.0,250.0,-0.29282,alkane
Tridecane,-114.08,12214.0,15.11,171.32,35.93,125.62,-45713.0,-56.922,-55930.0,-82.308,90.0,250.0,-0.29511,alkane
Tetradecane,-115.71,12769.0,15.25,186.83,36.76,126.76,-47844.0,-57.864,-60122.0,-87.834,90.0,250.0,-0.29541,alkane
Pentadecane,-118.82,13415.0,15.59,201.25,37.39,129.62,-50046.0,-59.562,-64466.0,-94.201,90.0,250.0,-0.29576,alkane
Hexadecane,-130.14,14548.0,17.1,215.1,38.46,142.18,-51541.0,-59.672,-69327.0,-101.76,90.0,250.0,-0.30505,alkane
Heptadecane,-133.51,15205.0,17.48,227.91,38.95,145.36,-53599.0,-61.208,-73642.0,-107.99,90.0,250.0,-0.30562,alkane
Octadecane,-140.94,16119.0,18.44,240.1,39.58,153.29,-55330.0,-61.696,-78343.0,-114.74,90.0,250.0,-0.31056,alkane
Nonadecane,-146.85,16922.0,19.18,251.8,40.21,159.47,-56983.0,-62.69,-82785.0,-121.45,90.0,250.0,-0.31293,alkane
Eicosane,-152.2,17698.0,19.84,262.81,40.67,164.99,-58738.0,-63.89,-87245.0,-128.1,90.0,250.0,-0.31469,alkane
Heneicosane,-165.32,19007.0,21.58,273.39,41.43,179.47,-59969.0,-64.089,-92874.0,-137.44,90.0,250.0,-0.32115,alkane
Docosane,-169.23,19674.0,22.05,283.55,41.89,183.35,-61517.0,-64.681,-97001.0,-143.0,90.0,250.0,-0.32255,alkane
Tricosane,-174.7,20461.0,22.73,293.11,42.25,188.99,-63106.0,-65.546,-101490.0,-149.5,90.0,250.0,-0.32426,alkane
Tetracosane,-174.87,20881.0,22.67,302.05,42.21,188.53,-65195.0,-67.668,-105160.0,-154.35,90.0,250.0,-0.32248,alkane
Pentacosane,-176.27,21372.0,22.79,310.67,42.26,189.51,-67071.0,-69.151,-108880.0,-159.12,90.0,250.0,-0.32197,alkane
Hexacosane,-200.49,23453.0,26.07,320.42,44.16,216.77,-66338.0,-65.958,-116280.0,-172.46,90.0,250.0,-0.33278,alkane
Heptacosane,-172.64,21870.0,22.15,326.62,41.9,184.17,-71380.0,-73.221,-114960.0,-165.62,90.0,250.0,-0.31715,alkane
Octacosane,-172.89,22254.0,22.12,334.19,41.82,183.91,-73331.0,-74.838,-118240.0,-169.42,90.0,250.0,-0.31606,alkane
Nonacosane,-172.62,22595.0,22.02,341.4,41.67,183.07,-75351.0,-76.593,-121380.0,-172.91,90.0,250.0,-0.3146,alkane
Triacontane,-173.26,22994.0,22.04,348.39,41.57,183.28,-77285.0,-78.607,-124640.0,-177.08,90.0,250.0,-0.313,alkane
