Compound\T [?C] ->,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200
Hexane,-0.68745,-0.97192,-1.24038,,-1.71527,,,,,,,,,,
Heptane,-0.45504,-0.77802,-1.06882,,-1.60365,,,,,,,,,,
Octane,0.35556,-0.01892,-0.3632,,-0.97593,-1.23881,-1.49748,-1.74002,-1.97183,-2.18888,-2.36433,-2.57751,,,
Nonane,1.17629,0.75195,0.36159,,-0.33811,-0.64687,-0.93038,-1.20092,-1.46464,-1.6994,-1.89864,-2.1249,-2.32187,-2.52477,-2.73038
Decane,2.0006,1.52776,1.09164,,0.31292,-0.0364,-0.35783,-0.66379,-0.94788,-1.2153,-1.45542,-1.6894,-1.91079,-2.11465,-2.33787
Undecane,2.82436,2.33371,1.82431,,0.96378,0.57749,0.22139,-0.11547,-0.42882,-0.71873,-0.98727,-1.24779,-1.48816,-1.71426,-1.94089
Dodecane,,3.08213,2.55623,,1.61601,1.19414,0.80167,0.43518,0.09161,-0.22941,-0.52366,-0.80852,-1.07571,-1.3181,-1.56297
Tridecane,,,3.28716,,2.26725,1.80963,1.38402,0.98564,0.6137,0.26437,-0.05638,-0.36094,-0.65049,-0.91907,-1.1816
Tetradecane,,,,,2.91802,2.42432,1.96478,1.53523,1.1358,0.75907,0.41314,0.08177,-0.22823,-0.52302,-0.79606
Pentadecane,,,,,,3.0378,2.54486,2.08394,1.6555,1.25161,0.87923,0.52333,0.19081,-0.12037,-0.41829
Hexadecane,,,,,,,3.12312,2.63057,2.17254,1.74292,1.3452,0.96523,0.61119,0.2785,-0.03821
Heptadecane,,,,,,,,3.17608,2.68903,2.2268,1.79542,1.40654,1.02704,0.67394,0.33995
Octadecane,,,,,,,,,3.20252,2.71956,2.26965,1.84383,1.44341,1.06895,0.71535
Nonadecane,,,,,,,,,,3.20696,2.72883,2.28034,1.85924,1.46377,1.09083
Eicosane,,,,,,,,,,,3.1888,2.71609,2.2714,,1.46462
