Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_ABC,R²_Kcentric,χ²_ABC,χ²_Kcentric,χ̄²_ABC,χ̄²_Kcentric,n_ABC,n_Kcentric,approx_equal,WLS,Cat_1
2-Hexanone,-155.57,11681.0,21.758,69.372,27.746,180.91,-80840.0,-298.52,250.0,90.0,0.99995,0.99995,2.0263,2.0263,0.67542,0.67542,6,6,true,true,ketone
2-Decanone,-173.42,14828.0,23.745,139.4,33.825,197.43,-105510.0,-356.09,250.0,90.0,0.99929,0.99929,9.0136,9.0136,0.81942,0.81942,14,14,true,true,ketone
2-Undecanone,-181.43,15863.0,24.733,154.07,34.461,205.64,-113380.0,-377.46,250.0,90.0,0.99991,0.99991,11.656,11.656,1.1656,1.1656,13,13,true,true,ketone
2-Dodecanone,-167.12,15594.0,22.547,168.16,34.508,187.47,-112780.0,-358.48,250.0,90.0,0.99998,0.99998,8.6983,8.6983,0.96648,0.96648,12,12,true,true,ketone
2-Tridecanone,-161.22,15755.0,21.584,181.49,34.788,179.46,-114840.0,-353.43,250.0,90.0,0.99999,0.99999,8.2365,8.2365,1.0296,1.0296,11,11,true,true,ketone
2-Pentadecanone,-158.62,16587.0,20.986,205.91,35.127,174.48,-122210.0,-359.23,250.0,90.0,1.0,1.0,5.6607,5.6607,1.1321,1.1321,8,8,true,true,ketone
2-Pentadecanone Std,-154.28,16327.0,20.369,205.55,34.847,169.36,-120510.0,-351.35,250.0,90.0,0.99999,0.99999,5.3848,5.3848,1.077,1.077,8,8,true,true,ketone
4-Methyl-2-pentanone,-86.18,7693.6,11.793,56.947,28.67,98.056,-55143.0,-177.25,250.0,90.0,0.99943,0.99943,2.8739,2.8739,1.4369,1.4369,5,5,true,true,ketone
2-Octanone,-101.01,10084.0,13.446,103.32,28.221,111.8,-73784.0,-225.0,250.0,90.0,0.99993,0.99993,10.451,10.451,0.87088,0.87088,15,15,true,true,ketone
2-Heptanone,-102.62,9704.8,13.784,85.509,27.018,114.6,-70376.0,-222.91,250.0,90.0,0.99985,0.99985,12.662,12.662,1.0552,1.0552,15,15,true,true,ketone
2-Nonanone,-96.319,10313.0,12.657,120.19,29.001,105.23,-76278.0,-222.07,250.0,90.0,0.99995,0.99995,13.21,13.21,1.1009,1.1009,15,15,true,true,ketone
